Filename,Percentage
convert/convert-jpg2gif-query-1459.smt2,0.22%
convert/convert-jpg2gif-query-1203.smt2,13.37%
convert/convert-jpg2gif-query-1191.smt2,0.17%
convert/convert-jpg2gif-query-1423.smt2,0.20%
convert/convert-jpg2gif-query-1164.smt2,14.47%
convert/convert-jpg2gif-query-1145.smt2,14.21%
convert/convert-jpg2gif-query-1590.smt2,0.00%
convert/convert-jpg2gif-query-1561.smt2,0.00%
convert/convert-jpg2gif-query-1146.smt2,13.85%
convert/convert-jpg2gif-query-1365.smt2,0.25%
convert/convert-jpg2gif-query-1372.smt2,0.21%
convert/convert-jpg2gif-query-1358.smt2,0.23%
convert/convert-jpg2gif-query-1370.smt2,0.24%
convert/convert-jpg2gif-query-1140.smt2,15.58%
convert/convert-jpg2gif-query-1152.smt2,15.67%
dillig/40-4.smt2,54.73%
dillig/30-28.smt2,29.04%
dillig/35-11.smt2,44.15%
dillig/45-28.smt2,47.40%
dillig/40-35.smt2,34.97%
dillig/40-10.smt2,18.04%
dillig/15-20.smt2,26.46%
dillig/40-17.smt2,50.90%
dillig/30-23.smt2,44.98%
dillig/25-26.smt2,63.23%
dillig/25-9.smt2,29.21%
dillig/30-12.smt2,61.05%
dillig/45-26.smt2,43.64%
dillig/10-21.smt2,31.21%
dillig/40-25.smt2,49.44%
prime-cone/prime_cone_sat_3.smt2,17.68%
prime-cone/prime_cone_sat_9.smt2,21.82%
prime-cone/prime_cone_sat_19.smt2,25.54%
prime-cone/prime_cone_sat_10.smt2,22.39%
prime-cone/prime_cone_sat_14.smt2,24.05%
prime-cone/prime_cone_sat_2.smt2,18.16%
prime-cone/prime_cone_sat_8.smt2,21.26%
prime-cone/prime_cone_sat_7.smt2,20.85%
prime-cone/prime_cone_sat_13.smt2,23.55%
prime-cone/prime_cone_sat_5.smt2,19.59%
prime-cone/prime_cone_sat_17.smt2,24.86%
prime-cone/prime_cone_sat_4.smt2,18.60%
prime-cone/prime_cone_sat_20.smt2,26.07%
prime-cone/prime_cone_sat_15.smt2,24.30%
prime-cone/prime_cone_sat_6.smt2,20.38%
SMT_random_LIA/ex18000_2600_100.smt2,11.36%
