Filename,Percentage
convert/convert-jpg2gif-query-1459.smt2,16.03%
convert/convert-jpg2gif-query-1203.smt2,17.53%
convert/convert-jpg2gif-query-1191.smt2,0.24%
convert/convert-jpg2gif-query-1423.smt2,10.89%
convert/convert-jpg2gif-query-1164.smt2,32.33%
convert/convert-jpg2gif-query-1145.smt2,32.00%
convert/convert-jpg2gif-query-1590.smt2,0.00%
convert/convert-jpg2gif-query-1561.smt2,0.00%
convert/convert-jpg2gif-query-1146.smt2,32.57%
convert/convert-jpg2gif-query-1365.smt2,0.00%
convert/convert-jpg2gif-query-1372.smt2,21.03%
convert/convert-jpg2gif-query-1358.smt2,20.40%
convert/convert-jpg2gif-query-1370.smt2,19.41%
convert/convert-jpg2gif-query-1140.smt2,32.23%
convert/convert-jpg2gif-query-1152.smt2,32.44%
dillig/40-4.smt2,91.84%
dillig/30-28.smt2,12.42%
dillig/35-11.smt2,19.97%
dillig/45-28.smt2,21.69%
dillig/40-35.smt2,21.31%
dillig/40-10.smt2,89.44%
dillig/15-20.smt2,78.69%
dillig/40-17.smt2,22.69%
dillig/30-23.smt2,12.22%
dillig/25-26.smt2,15.12%
dillig/25-9.smt2,85.31%
dillig/30-12.smt2,18.49%
dillig/45-26.smt2,16.98%
dillig/10-21.smt2,78.33%
dillig/40-25.smt2,30.71%
prime-cone/prime_cone_sat_3.smt2,36.06%
prime-cone/prime_cone_sat_9.smt2,44.62%
prime-cone/prime_cone_sat_19.smt2,51.27%
prime-cone/prime_cone_sat_10.smt2,45.95%
prime-cone/prime_cone_sat_14.smt2,48.29%
prime-cone/prime_cone_sat_2.smt2,33.88%
prime-cone/prime_cone_sat_8.smt2,44.26%
prime-cone/prime_cone_sat_7.smt2,44.23%
prime-cone/prime_cone_sat_13.smt2,43.75%
prime-cone/prime_cone_sat_5.smt2,40.45%
prime-cone/prime_cone_sat_17.smt2,40.01%
prime-cone/prime_cone_sat_4.smt2,38.19%
prime-cone/prime_cone_sat_20.smt2,47.07%
prime-cone/prime_cone_sat_15.smt2,8.86%
prime-cone/prime_cone_sat_6.smt2,42.10%
SMT_random_LIA/ex18000_2600_100.smt2,12.55%
SMT_random_LIA/ex21200_2600_100.smt2,12.28%
SMT_random_LIA/ex16300_2600_100.smt2,12.86%
SMT_random_LIA/ex21300_2600_100.smt2,12.13%
SMT_random_LIA/ex14600_2600_100.smt2,12.74%
SMT_random_LIA/ex18900_2600_100.smt2,12.60%
SMT_random_LIA/ex28300_2600_100.smt2,12.16%
SMT_random_LIA/ex26100_2600_100.smt2,11.81%
SMT_random_LIA/ex21900_2600_100.smt2,12.51%
SMT_random_LIA/ex28200_2600_100.smt2,12.23%
SMT_random_LIA/ex27000_2600_100.smt2,11.85%
SMT_random_LIA/ex24600_2600_100.smt2,12.52%
SMT_random_LIA/ex25700_2600_100.smt2,11.90%
SMT_random_LIA/ex17800_2600_100.smt2,12.55%
SMT_random_LIA/ex28500_2600_100.smt2,12.08%
SMT_real_LIA/ex5460_2400_100.smt2,10.80%
SMT_real_LIA/ex9500_2400_100.smt2,10.89%
SMT_real_LIA/ex6120_2400_100.smt2,11.30%
SMT_real_LIA/ex5440_2400_100.smt2,10.73%
SMT_real_LIA/ex9900_2400_100.smt2,10.82%
SMT_real_LIA/ex5480_2400_100.smt2,10.92%
SMT_real_LIA/ex9240_2400_100.smt2,10.97%
SMT_real_LIA/ex8820_2400_100.smt2,10.81%
SMT_real_LIA/ex5680_2400_100.smt2,11.25%
SMT_real_LIA/ex8220_2400_100.smt2,11.14%
SMT_real_LIA/ex8440_2400_100.smt2,10.86%
SMT_real_LIA/ex8600_2400_100.smt2,10.99%
SMT_real_LIA/ex6220_2400_100.smt2,11.33%
SMT_real_LIA/ex8500_2400_100.smt2,11.15%
SMT_real_LIA/ex9820_2400_100.smt2,10.95%
pb2010/normalized-j6022_1-sat.smt2,1.17%
pb2010/normalized-j3031_7-sat.smt2,4.83%
pb2010/normalized-j6048_4-sat.smt2,6.25%
pb2010/normalized-j3025_7-sat.smt2,0.00%
pb2010/normalized-j6018_3-sat.smt2,5.50%
pb2010/normalized-j6015_4-sat.smt2,7.26%
pb2010/normalized-j3025_1-sat.smt2,0.00%
pb2010/normalized-j3024_4-sat.smt2,8.84%
pb2010/normalized-j308_6-sat.smt2,8.63%
pb2010/normalized-1096.cudf.paranoid.smt2,11.34%
pb2010/normalized-j3027_8-sat.smt2,7.81%
pb2010/normalized-j6040_1-sat.smt2,5.20%
pb2010/normalized-j3037_5-sat.smt2,0.72%
pb2010/normalized-j6035_10-sat.smt2,3.65%
pb2010/normalized-j3048_8-sat.smt2,4.15%
20-vars/problem_2__010.smt2,72.99%
20-vars/problem_2__004.smt2,75.83%
20-vars/problem_2__007.smt2,73.11%
20-vars/problem__021.smt2,67.24%
20-vars/problem__003.smt2,72.35%
20-vars/problem_2__015.smt2,68.25%
20-vars/problem_2__012.smt2,74.81%
20-vars/problem__009.smt2,75.08%
20-vars/problem_2__006.smt2,68.99%
20-vars/problem__004.smt2,75.25%
20-vars/problem__024.smt2,71.96%
20-vars/problem__005.smt2,74.69%
20-vars/problem__008.smt2,75.27%
20-vars/problem__012.smt2,73.14%
20-vars/problem__028.smt2,42.63%
40-vars/problem_2__029.smt2,22.97%
40-vars/problem_2__023.smt2,27.48%
40-vars/problem_2__020.smt2,29.41%
40-vars/problem__032.smt2,20.17%
40-vars/problem_2__007.smt2,75.04%
40-vars/problem__015.smt2,33.28%
40-vars/problem__009.smt2,75.36%
40-vars/problem_2__003.smt2,74.37%
40-vars/problem_2__006.smt2,72.82%
40-vars/problem__004.smt2,74.29%
40-vars/problem__012.smt2,57.36%
40-vars/problem_2__034.smt2,23.00%
40-vars/problem_2__025.smt2,29.89%
40-vars/problem_2__032.smt2,14.58%
40-vars/problem__017.smt2,30.69%
15-vars/problem_2__001.smt2,73.93%
15-vars/problem_2__023.smt2,59.60%
15-vars/problem_2__007.smt2,73.10%
15-vars/problem_2__015.smt2,60.86%
15-vars/problem_2__003.smt2,72.28%
15-vars/problem__011.smt2,69.75%
15-vars/problem_2__006.smt2,56.56%
15-vars/problem__019.smt2,68.27%
15-vars/problem__004.smt2,73.19%
15-vars/problem__010.smt2,75.25%
15-vars/problem_2__008.smt2,74.15%
15-vars/problem_2__009.smt2,74.78%
15-vars/problem__002.smt2,72.76%
15-vars/problem__013.smt2,74.25%
15-vars/problem__017.smt2,19.28%
25-vars/problem__029.smt2,19.31%
25-vars/problem_2__003.smt2,75.17%
25-vars/problem_2__024.smt2,17.67%
25-vars/problem_2__026.smt2,14.78%
25-vars/problem__035.smt2,13.01%
25-vars/problem__019.smt2,20.87%
25-vars/problem__004.smt2,75.22%
25-vars/problem_2__018.smt2,70.03%
25-vars/problem_2__008.smt2,74.48%
25-vars/problem_2__002.smt2,75.26%
25-vars/problem_2__016.smt2,23.36%
25-vars/problem_2__011.smt2,74.03%
25-vars/problem__012.smt2,22.94%
25-vars/problem_2__025.smt2,28.81%
25-vars/problem_2__032.smt2,16.66%
10-vars/problem__006.smt2,71.45%
10-vars/problem_2__022.smt2,58.96%
10-vars/problem_2__010.smt2,69.28%
10-vars/problem_2__004.smt2,58.11%
10-vars/problem_2__005.smt2,65.56%
10-vars/problem__023.smt2,56.91%
10-vars/problem_2__007.smt2,46.86%
10-vars/problem__015.smt2,63.48%
10-vars/problem_2__017.smt2,66.48%
10-vars/problem__010.smt2,69.51%
10-vars/problem__007.smt2,73.35%
10-vars/problem_2__008.smt2,39.87%
10-vars/problem__005.smt2,72.08%
10-vars/problem_2__011.smt2,71.47%
10-vars/problem__014.smt2,58.57%
35-vars/problem_2__029.smt2,21.04%
35-vars/problem__006.smt2,74.64%
35-vars/problem_2__022.smt2,24.71%
35-vars/problem__016.smt2,56.83%
35-vars/problem_2__007.smt2,61.49%
35-vars/problem__003.smt2,75.23%
35-vars/problem_2__015.smt2,33.39%
35-vars/problem_2__017.smt2,29.81%
35-vars/problem_2__033.smt2,26.35%
35-vars/problem_2__019.smt2,27.47%
35-vars/problem_2__026.smt2,15.61%
35-vars/problem__035.smt2,23.40%
35-vars/problem__019.smt2,37.68%
35-vars/problem__004.smt2,75.74%
35-vars/problem__010.smt2,74.60%
30-vars/problem_2__022.smt2,25.61%
30-vars/problem_2__010.smt2,75.42%
30-vars/problem_2__005.smt2,74.56%
30-vars/problem__015.smt2,34.48%
30-vars/problem__020.smt2,26.10%
30-vars/problem__003.smt2,75.21%
30-vars/problem_2__021.smt2,48.29%
30-vars/problem__035.smt2,14.88%
30-vars/problem__004.smt2,75.02%
30-vars/problem__010.smt2,75.48%
30-vars/problem_2__035.smt2,18.29%
30-vars/problem_2__016.smt2,22.13%
30-vars/problem__027.smt2,44.05%
30-vars/problem__012.smt2,50.27%
30-vars/problem__017.smt2,28.91%
45-vars/problem_2__020.smt2,41.57%
45-vars/problem_2__004.smt2,74.91%
45-vars/problem__029.smt2,31.68%
45-vars/problem_2__007.smt2,75.59%
45-vars/problem__015.smt2,41.01%
45-vars/problem_2__017.smt2,35.63%
45-vars/problem_2__024.smt2,28.69%
45-vars/problem__033.smt2,29.75%
45-vars/problem_2__021.smt2,33.16%
45-vars/problem__030.smt2,25.62%
45-vars/problem__007.smt2,75.27%
45-vars/problem__018.smt2,39.15%
45-vars/problem_2__011.smt2,40.43%
45-vars/problem_2__034.smt2,23.85%
45-vars/problem__028.smt2,27.13%
slacks/20-19.slack.smt2,34.85%
slacks/25-17.slack.smt2,67.97%
slacks/15-7.slack.smt2,57.34%
slacks/15-13.slack.smt2,61.50%
slacks/45-26.slack.smt2,68.18%
slacks/10-13.slack.smt2,65.15%
slacks/35-25.slack.smt2,69.62%
slacks/30-10.slack.smt2,71.00%
slacks/40-14.slack.smt2,72.45%
slacks/40-9.slack.smt2,71.55%
slacks/35-5.slack.smt2,71.18%
slacks/45-14.slack.smt2,70.64%
slacks/15-5.slack.smt2,67.11%
slacks/45-24.slack.smt2,69.64%
slacks/45-34.slack.smt2,68.66%
20-vars/v20_problem_2__016.smt2.slack.smt2,69.28%
20-vars/v20_problem_2__018.smt2.slack.smt2,35.91%
20-vars/v20_problem__028.smt2.slack.smt2,8.07%
20-vars/v20_problem__004.smt2.slack.smt2,71.24%
20-vars/v20_problem_2__035.smt2.slack.smt2,49.28%
