Filename,Percentage
convert/convert-jpg2gif-query-1459.smt2,0.00%
convert/convert-jpg2gif-query-1203.smt2,0.00%
convert/convert-jpg2gif-query-1191.smt2,0.00%
convert/convert-jpg2gif-query-1423.smt2,0.00%
convert/convert-jpg2gif-query-1164.smt2,26.29%
convert/convert-jpg2gif-query-1145.smt2,26.11%
convert/convert-jpg2gif-query-1590.smt2,0.00%
convert/convert-jpg2gif-query-1561.smt2,0.00%
convert/convert-jpg2gif-query-1146.smt2,27.58%
convert/convert-jpg2gif-query-1365.smt2,0.00%
convert/convert-jpg2gif-query-1372.smt2,0.00%
convert/convert-jpg2gif-query-1358.smt2,0.00%
convert/convert-jpg2gif-query-1370.smt2,0.00%
convert/convert-jpg2gif-query-1140.smt2,26.77%
convert/convert-jpg2gif-query-1152.smt2,27.84%
dillig/40-4.smt2,93.00%
dillig/30-28.smt2,94.97%
dillig/35-11.smt2,94.41%
dillig/45-28.smt2,95.89%
dillig/40-35.smt2,96.07%
dillig/40-10.smt2,93.84%
dillig/15-20.smt2,91.42%
dillig/40-17.smt2,95.04%
dillig/30-23.smt2,94.84%
dillig/25-26.smt2,94.38%
dillig/25-9.smt2,93.47%
dillig/30-12.smt2,92.95%
dillig/45-26.smt2,96.32%
dillig/10-21.smt2,79.41%
dillig/40-25.smt2,95.14%
prime-cone/prime_cone_sat_3.smt2,58.64%
prime-cone/prime_cone_sat_9.smt2,77.05%
prime-cone/prime_cone_sat_19.smt2,86.87%
prime-cone/prime_cone_sat_10.smt2,78.73%
prime-cone/prime_cone_sat_14.smt2,83.40%
prime-cone/prime_cone_sat_2.smt2,55.53%
prime-cone/prime_cone_sat_8.smt2,75.36%
prime-cone/prime_cone_sat_7.smt2,73.03%
prime-cone/prime_cone_sat_13.smt2,82.32%
prime-cone/prime_cone_sat_5.smt2,67.39%
prime-cone/prime_cone_sat_17.smt2,85.64%
prime-cone/prime_cone_sat_4.smt2,63.53%
