Filename,Percentage
convert/convert-jpg2gif-query-1459.smt2,0.22%
convert/convert-jpg2gif-query-1203.smt2,0.21%
convert/convert-jpg2gif-query-1191.smt2,0.17%
convert/convert-jpg2gif-query-1423.smt2,0.20%
convert/convert-jpg2gif-query-1164.smt2,30.06%
convert/convert-jpg2gif-query-1145.smt2,28.31%
convert/convert-jpg2gif-query-1590.smt2,0.00%
convert/convert-jpg2gif-query-1561.smt2,0.00%
convert/convert-jpg2gif-query-1146.smt2,29.71%
convert/convert-jpg2gif-query-1365.smt2,0.25%
convert/convert-jpg2gif-query-1372.smt2,0.21%
convert/convert-jpg2gif-query-1358.smt2,0.23%
convert/convert-jpg2gif-query-1370.smt2,0.24%
convert/convert-jpg2gif-query-1140.smt2,28.03%
convert/convert-jpg2gif-query-1152.smt2,27.14%
dillig/40-4.smt2,92.56%
dillig/30-28.smt2,4.02%
dillig/35-11.smt2,13.97%
dillig/45-28.smt2,10.00%
dillig/40-35.smt2,3.63%
dillig/40-10.smt2,91.59%
dillig/15-20.smt2,85.37%
dillig/40-17.smt2,9.50%
dillig/30-23.smt2,3.99%
dillig/25-26.smt2,1.44%
dillig/25-9.smt2,90.79%
dillig/30-12.smt2,7.86%
dillig/45-26.smt2,3.44%
dillig/10-21.smt2,78.87%
dillig/40-25.smt2,6.23%
prime-cone/prime_cone_sat_3.smt2,36.06%
prime-cone/prime_cone_sat_9.smt2,47.05%
prime-cone/prime_cone_sat_19.smt2,54.68%
prime-cone/prime_cone_sat_10.smt2,48.30%
prime-cone/prime_cone_sat_14.smt2,51.70%
prime-cone/prime_cone_sat_2.smt2,31.17%
prime-cone/prime_cone_sat_8.smt2,46.04%
prime-cone/prime_cone_sat_7.smt2,44.47%
prime-cone/prime_cone_sat_13.smt2,50.87%
prime-cone/prime_cone_sat_5.smt2,41.07%
prime-cone/prime_cone_sat_17.smt2,53.52%
prime-cone/prime_cone_sat_4.smt2,38.71%
prime-cone/prime_cone_sat_20.smt2,54.69%
prime-cone/prime_cone_sat_15.smt2,52.40%
prime-cone/prime_cone_sat_6.smt2,42.98%
SMT_random_LIA/ex18000_2600_100.smt2,13.25%
SMT_random_LIA/ex21200_2600_100.smt2,13.21%
SMT_random_LIA/ex16300_2600_100.smt2,13.21%
SMT_random_LIA/ex21300_2600_100.smt2,13.17%
SMT_random_LIA/ex14600_2600_100.smt2,12.95%
SMT_random_LIA/ex18900_2600_100.smt2,13.25%
SMT_random_LIA/ex28300_2600_100.smt2,13.11%
SMT_random_LIA/ex26100_2600_100.smt2,13.18%
SMT_random_LIA/ex21900_2600_100.smt2,13.19%
SMT_random_LIA/ex28200_2600_100.smt2,13.11%
SMT_random_LIA/ex27000_2600_100.smt2,13.16%
SMT_random_LIA/ex24600_2600_100.smt2,13.17%
SMT_random_LIA/ex25700_2600_100.smt2,13.15%
SMT_random_LIA/ex17800_2600_100.smt2,13.24%
SMT_random_LIA/ex28500_2600_100.smt2,13.21%
SMT_real_LIA/ex5460_2400_100.smt2,11.25%
SMT_real_LIA/ex9500_2400_100.smt2,11.55%
SMT_real_LIA/ex6120_2400_100.smt2,11.48%
SMT_real_LIA/ex5440_2400_100.smt2,11.21%
SMT_real_LIA/ex9900_2400_100.smt2,11.54%
SMT_real_LIA/ex5480_2400_100.smt2,11.20%
SMT_real_LIA/ex9240_2400_100.smt2,11.53%
SMT_real_LIA/ex8820_2400_100.smt2,11.57%
SMT_real_LIA/ex5680_2400_100.smt2,11.47%
SMT_real_LIA/ex8220_2400_100.smt2,11.55%
SMT_real_LIA/ex8440_2400_100.smt2,11.59%
SMT_real_LIA/ex8600_2400_100.smt2,11.55%
SMT_real_LIA/ex6220_2400_100.smt2,11.52%
SMT_real_LIA/ex8500_2400_100.smt2,11.57%
SMT_real_LIA/ex9820_2400_100.smt2,11.56%
pb2010/normalized-j6022_1-sat.smt2,3.60%
pb2010/normalized-j3031_7-sat.smt2,5.04%
pb2010/normalized-j6048_4-sat.smt2,4.70%
pb2010/normalized-j3025_7-sat.smt2,4.21%
pb2010/normalized-j6018_3-sat.smt2,4.85%
pb2010/normalized-j6015_4-sat.smt2,7.61%
pb2010/normalized-j3025_1-sat.smt2,3.05%
pb2010/normalized-j3024_4-sat.smt2,5.53%
pb2010/normalized-j308_6-sat.smt2,3.63%
pb2010/normalized-1096.cudf.paranoid.smt2,11.34%
pb2010/normalized-j3027_8-sat.smt2,5.10%
pb2010/normalized-j6040_1-sat.smt2,3.82%
pb2010/normalized-j3037_5-sat.smt2,1.01%
pb2010/normalized-j6035_10-sat.smt2,3.14%
pb2010/normalized-j3048_8-sat.smt2,2.09%
20-vars/problem_2__010.smt2,74.72%
20-vars/problem_2__004.smt2,76.76%
20-vars/problem_2__007.smt2,74.81%
20-vars/problem__021.smt2,64.86%
20-vars/problem__003.smt2,74.09%
20-vars/problem_2__015.smt2,70.25%
20-vars/problem_2__012.smt2,76.71%
20-vars/problem__009.smt2,75.53%
20-vars/problem_2__006.smt2,77.35%
20-vars/problem__004.smt2,75.36%
20-vars/problem__024.smt2,68.54%
20-vars/problem__005.smt2,75.51%
20-vars/problem__008.smt2,76.05%
20-vars/problem__012.smt2,75.29%
20-vars/problem__028.smt2,54.72%
40-vars/problem_2__029.smt2,1.78%
40-vars/problem_2__023.smt2,2.42%
40-vars/problem_2__020.smt2,5.98%
40-vars/problem__032.smt2,17.76%
40-vars/problem_2__007.smt2,75.20%
40-vars/problem__015.smt2,48.83%
40-vars/problem__009.smt2,75.13%
40-vars/problem_2__003.smt2,75.87%
40-vars/problem_2__006.smt2,73.75%
40-vars/problem__004.smt2,74.82%
40-vars/problem__012.smt2,4.09%
40-vars/problem_2__034.smt2,22.46%
40-vars/problem_2__025.smt2,0.68%
40-vars/problem_2__032.smt2,22.23%
40-vars/problem__017.smt2,6.52%
15-vars/problem_2__001.smt2,75.17%
15-vars/problem_2__023.smt2,69.66%
15-vars/problem_2__007.smt2,73.72%
15-vars/problem_2__015.smt2,63.70%
15-vars/problem_2__003.smt2,75.15%
15-vars/problem__011.smt2,70.77%
15-vars/problem_2__006.smt2,73.38%
15-vars/problem__019.smt2,70.77%
15-vars/problem__004.smt2,75.52%
15-vars/problem__010.smt2,75.85%
15-vars/problem_2__008.smt2,77.43%
15-vars/problem_2__009.smt2,75.38%
15-vars/problem__002.smt2,75.71%
15-vars/problem__013.smt2,74.84%
15-vars/problem__017.smt2,19.28%
25-vars/problem__029.smt2,1.93%
25-vars/problem_2__003.smt2,75.60%
25-vars/problem_2__024.smt2,6.37%
25-vars/problem_2__026.smt2,0.98%
25-vars/problem__035.smt2,2.12%
25-vars/problem__019.smt2,1.04%
25-vars/problem__004.smt2,75.23%
25-vars/problem_2__018.smt2,68.52%
25-vars/problem_2__008.smt2,76.28%
25-vars/problem_2__002.smt2,75.29%
25-vars/problem_2__016.smt2,0.89%
25-vars/problem_2__011.smt2,75.68%
25-vars/problem__012.smt2,2.18%
25-vars/problem_2__025.smt2,2.13%
25-vars/problem_2__032.smt2,0.69%
10-vars/problem__006.smt2,72.41%
10-vars/problem_2__022.smt2,63.74%
10-vars/problem_2__010.smt2,71.14%
10-vars/problem_2__004.smt2,68.11%
10-vars/problem_2__005.smt2,73.47%
10-vars/problem__023.smt2,60.31%
10-vars/problem_2__007.smt2,68.96%
10-vars/problem__015.smt2,68.62%
10-vars/problem_2__017.smt2,72.13%
10-vars/problem__010.smt2,74.08%
10-vars/problem__007.smt2,73.47%
10-vars/problem_2__008.smt2,72.25%
10-vars/problem__005.smt2,73.12%
10-vars/problem_2__011.smt2,74.79%
10-vars/problem__014.smt2,59.35%
35-vars/problem_2__029.smt2,2.13%
35-vars/problem__006.smt2,74.09%
35-vars/problem_2__022.smt2,3.55%
35-vars/problem__016.smt2,2.15%
35-vars/problem_2__007.smt2,71.47%
35-vars/problem__003.smt2,75.20%
35-vars/problem_2__015.smt2,5.70%
35-vars/problem_2__017.smt2,0.47%
35-vars/problem_2__033.smt2,1.37%
35-vars/problem_2__019.smt2,1.35%
35-vars/problem_2__026.smt2,0.64%
35-vars/problem__035.smt2,4.25%
35-vars/problem__019.smt2,55.20%
35-vars/problem__004.smt2,75.99%
35-vars/problem__010.smt2,74.38%
30-vars/problem_2__022.smt2,2.04%
30-vars/problem_2__010.smt2,76.30%
30-vars/problem_2__005.smt2,75.49%
30-vars/problem__015.smt2,7.51%
30-vars/problem__020.smt2,2.41%
30-vars/problem__003.smt2,75.55%
30-vars/problem_2__021.smt2,0.00%
30-vars/problem__035.smt2,0.76%
30-vars/problem__004.smt2,75.05%
30-vars/problem__010.smt2,75.72%
30-vars/problem_2__035.smt2,19.76%
30-vars/problem_2__016.smt2,1.31%
30-vars/problem__027.smt2,1.23%
30-vars/problem__012.smt2,46.91%
30-vars/problem__017.smt2,1.70%
45-vars/problem_2__020.smt2,11.47%
45-vars/problem_2__004.smt2,75.78%
45-vars/problem__029.smt2,1.74%
45-vars/problem_2__007.smt2,75.14%
45-vars/problem__015.smt2,49.91%
45-vars/problem_2__017.smt2,7.15%
45-vars/problem_2__024.smt2,2.03%
45-vars/problem__033.smt2,1.24%
45-vars/problem_2__021.smt2,4.90%
45-vars/problem__030.smt2,0.45%
45-vars/problem__007.smt2,68.32%
