Filename,Percentage
convert/convert-jpg2gif-query-1459.smt2,0.22%
convert/convert-jpg2gif-query-1203.smt2,0.21%
convert/convert-jpg2gif-query-1191.smt2,0.17%
convert/convert-jpg2gif-query-1423.smt2,0.20%
convert/convert-jpg2gif-query-1164.smt2,26.08%
convert/convert-jpg2gif-query-1145.smt2,26.66%
convert/convert-jpg2gif-query-1590.smt2,0.00%
convert/convert-jpg2gif-query-1561.smt2,0.00%
convert/convert-jpg2gif-query-1146.smt2,24.69%
convert/convert-jpg2gif-query-1365.smt2,0.25%
convert/convert-jpg2gif-query-1372.smt2,0.21%
convert/convert-jpg2gif-query-1358.smt2,0.23%
convert/convert-jpg2gif-query-1370.smt2,0.24%
convert/convert-jpg2gif-query-1140.smt2,25.81%
convert/convert-jpg2gif-query-1152.smt2,25.07%
dillig/40-4.smt2,91.98%
dillig/30-28.smt2,92.84%
dillig/35-11.smt2,94.14%
dillig/45-28.smt2,95.11%
dillig/40-35.smt2,95.70%
dillig/40-10.smt2,93.52%
dillig/15-20.smt2,66.05%
dillig/40-17.smt2,93.15%
dillig/30-23.smt2,94.83%
dillig/25-26.smt2,93.26%
dillig/25-9.smt2,93.51%
dillig/30-12.smt2,92.82%
dillig/45-26.smt2,95.80%
dillig/10-21.smt2,78.45%
dillig/40-25.smt2,93.57%
prime-cone/prime_cone_sat_3.smt2,24.65%
prime-cone/prime_cone_sat_9.smt2,28.89%
prime-cone/prime_cone_sat_19.smt2,32.06%
prime-cone/prime_cone_sat_10.smt2,28.97%
prime-cone/prime_cone_sat_14.smt2,30.71%
prime-cone/prime_cone_sat_2.smt2,55.92%
prime-cone/prime_cone_sat_8.smt2,27.92%
prime-cone/prime_cone_sat_7.smt2,27.53%
prime-cone/prime_cone_sat_13.smt2,30.09%
prime-cone/prime_cone_sat_5.smt2,26.09%
prime-cone/prime_cone_sat_17.smt2,31.46%
prime-cone/prime_cone_sat_4.smt2,24.94%
prime-cone/prime_cone_sat_20.smt2,32.08%
prime-cone/prime_cone_sat_15.smt2,31.04%
prime-cone/prime_cone_sat_6.smt2,27.13%
SMT_random_LIA/ex18000_2600_100.smt2,11.63%
SMT_random_LIA/ex21200_2600_100.smt2,11.56%
SMT_random_LIA/ex16300_2600_100.smt2,11.58%
SMT_random_LIA/ex21300_2600_100.smt2,11.18%
SMT_random_LIA/ex14600_2600_100.smt2,11.20%
SMT_random_LIA/ex18900_2600_100.smt2,10.77%
SMT_random_LIA/ex28300_2600_100.smt2,10.92%
SMT_random_LIA/ex26100_2600_100.smt2,10.66%
SMT_random_LIA/ex21900_2600_100.smt2,11.53%
SMT_random_LIA/ex28200_2600_100.smt2,11.05%
SMT_random_LIA/ex27000_2600_100.smt2,11.78%
SMT_random_LIA/ex24600_2600_100.smt2,10.31%
SMT_random_LIA/ex25700_2600_100.smt2,9.95%
SMT_random_LIA/ex17800_2600_100.smt2,11.05%
SMT_random_LIA/ex28500_2600_100.smt2,11.57%
SMT_real_LIA/ex5460_2400_100.smt2,10.77%
SMT_real_LIA/ex9500_2400_100.smt2,11.07%
SMT_real_LIA/ex6120_2400_100.smt2,10.30%
SMT_real_LIA/ex5440_2400_100.smt2,10.59%
SMT_real_LIA/ex9900_2400_100.smt2,10.65%
SMT_real_LIA/ex5480_2400_100.smt2,10.59%
SMT_real_LIA/ex9240_2400_100.smt2,11.03%
SMT_real_LIA/ex8820_2400_100.smt2,10.84%
SMT_real_LIA/ex5680_2400_100.smt2,10.64%
SMT_real_LIA/ex8220_2400_100.smt2,10.65%
SMT_real_LIA/ex8440_2400_100.smt2,10.88%
SMT_real_LIA/ex8600_2400_100.smt2,11.03%
SMT_real_LIA/ex6220_2400_100.smt2,9.97%
SMT_real_LIA/ex8500_2400_100.smt2,10.02%
SMT_real_LIA/ex9820_2400_100.smt2,11.09%
pb2010/normalized-j6022_1-sat.smt2,0.00%
pb2010/normalized-j3031_7-sat.smt2,4.72%
pb2010/normalized-j6048_4-sat.smt2,6.04%
pb2010/normalized-j3025_7-sat.smt2,0.00%
pb2010/normalized-j6018_3-sat.smt2,5.62%
pb2010/normalized-j6015_4-sat.smt2,0.00%
pb2010/normalized-j3025_1-sat.smt2,0.00%
pb2010/normalized-j3024_4-sat.smt2,8.46%
pb2010/normalized-j308_6-sat.smt2,8.05%
pb2010/normalized-1096.cudf.paranoid.smt2,11.34%
pb2010/normalized-j3027_8-sat.smt2,7.04%
pb2010/normalized-j6040_1-sat.smt2,4.77%
pb2010/normalized-j3037_5-sat.smt2,0.00%
pb2010/normalized-j6035_10-sat.smt2,3.26%
pb2010/normalized-j3048_8-sat.smt2,4.03%
20-vars/problem_2__010.smt2,67.76%
20-vars/problem_2__004.smt2,75.63%
20-vars/problem_2__007.smt2,74.87%
20-vars/problem__021.smt2,51.02%
20-vars/problem__003.smt2,73.06%
20-vars/problem_2__015.smt2,71.52%
20-vars/problem_2__012.smt2,77.34%
20-vars/problem__009.smt2,75.14%
20-vars/problem_2__006.smt2,77.37%
20-vars/problem__004.smt2,74.99%
20-vars/problem__024.smt2,72.58%
20-vars/problem__005.smt2,75.33%
20-vars/problem__008.smt2,76.26%
20-vars/problem__012.smt2,76.65%
20-vars/problem__028.smt2,23.73%
40-vars/problem_2__029.smt2,77.81%
40-vars/problem_2__023.smt2,77.75%
40-vars/problem_2__020.smt2,72.24%
40-vars/problem__032.smt2,79.21%
40-vars/problem_2__007.smt2,74.64%
40-vars/problem__015.smt2,76.95%
40-vars/problem__009.smt2,74.98%
40-vars/problem_2__003.smt2,75.20%
40-vars/problem_2__006.smt2,75.32%
40-vars/problem__004.smt2,72.36%
40-vars/problem__012.smt2,77.44%
40-vars/problem_2__034.smt2,77.86%
40-vars/problem_2__025.smt2,74.51%
40-vars/problem_2__032.smt2,78.93%
40-vars/problem__017.smt2,75.81%
15-vars/problem_2__001.smt2,74.34%
15-vars/problem_2__023.smt2,49.09%
15-vars/problem_2__007.smt2,73.06%
15-vars/problem_2__015.smt2,45.10%
15-vars/problem_2__003.smt2,74.50%
15-vars/problem__011.smt2,64.15%
15-vars/problem_2__006.smt2,73.55%
15-vars/problem__019.smt2,58.59%
15-vars/problem__004.smt2,75.36%
15-vars/problem__010.smt2,75.55%
15-vars/problem_2__008.smt2,77.39%
15-vars/problem_2__009.smt2,72.27%
15-vars/problem__002.smt2,75.47%
15-vars/problem__013.smt2,70.37%
15-vars/problem__017.smt2,19.28%
25-vars/problem__029.smt2,64.34%
25-vars/problem_2__003.smt2,75.98%
25-vars/problem_2__024.smt2,71.94%
25-vars/problem_2__026.smt2,73.68%
25-vars/problem__035.smt2,60.20%
25-vars/problem__019.smt2,78.62%
25-vars/problem__004.smt2,73.97%
25-vars/problem_2__018.smt2,73.88%
25-vars/problem_2__008.smt2,76.22%
25-vars/problem_2__002.smt2,76.59%
25-vars/problem_2__016.smt2,77.96%
25-vars/problem_2__011.smt2,76.04%
25-vars/problem__012.smt2,77.96%
25-vars/problem_2__025.smt2,78.48%
25-vars/problem_2__032.smt2,51.41%
10-vars/problem__006.smt2,68.13%
10-vars/problem_2__022.smt2,43.39%
10-vars/problem_2__010.smt2,64.79%
10-vars/problem_2__004.smt2,65.68%
10-vars/problem_2__005.smt2,70.85%
10-vars/problem__023.smt2,54.28%
10-vars/problem_2__007.smt2,59.46%
10-vars/problem__015.smt2,51.09%
10-vars/problem_2__017.smt2,62.36%
10-vars/problem__010.smt2,74.08%
10-vars/problem__007.smt2,57.49%
10-vars/problem_2__008.smt2,72.25%
10-vars/problem__005.smt2,73.12%
10-vars/problem_2__011.smt2,71.36%
10-vars/problem__014.smt2,43.85%
35-vars/problem_2__029.smt2,78.62%
35-vars/problem__006.smt2,76.90%
35-vars/problem_2__022.smt2,78.31%
35-vars/problem__016.smt2,69.59%
35-vars/problem_2__007.smt2,77.36%
35-vars/problem__003.smt2,72.73%
35-vars/problem_2__015.smt2,76.83%
35-vars/problem_2__017.smt2,69.62%
35-vars/problem_2__033.smt2,79.48%
35-vars/problem_2__019.smt2,77.75%
35-vars/problem_2__026.smt2,79.15%
35-vars/problem__035.smt2,79.81%
35-vars/problem__019.smt2,77.74%
35-vars/problem__004.smt2,76.08%
35-vars/problem__010.smt2,74.61%
30-vars/problem_2__022.smt2,77.81%
30-vars/problem_2__010.smt2,75.78%
30-vars/problem_2__005.smt2,75.62%
30-vars/problem__015.smt2,76.68%
30-vars/problem__020.smt2,73.65%
30-vars/problem__003.smt2,75.93%
30-vars/problem_2__021.smt2,76.49%
30-vars/problem__035.smt2,71.55%
30-vars/problem__004.smt2,75.19%
30-vars/problem__010.smt2,76.94%
30-vars/problem_2__035.smt2,63.48%
30-vars/problem_2__016.smt2,78.76%
30-vars/problem__027.smt2,78.82%
30-vars/problem__012.smt2,78.30%
30-vars/problem__017.smt2,78.86%
45-vars/problem_2__020.smt2,74.85%
45-vars/problem_2__004.smt2,74.57%
45-vars/problem__029.smt2,73.54%
45-vars/problem_2__007.smt2,75.52%
45-vars/problem__015.smt2,75.24%
45-vars/problem_2__017.smt2,72.71%
45-vars/problem_2__024.smt2,77.01%
45-vars/problem__033.smt2,78.84%
45-vars/problem_2__021.smt2,64.74%
45-vars/problem__030.smt2,78.13%
45-vars/problem__007.smt2,76.37%
