Filename,Percentage
convert/convert-jpg2gif-query-1459.smt2,11.26%
convert/convert-jpg2gif-query-1203.smt2,17.40%
convert/convert-jpg2gif-query-1191.smt2,18.63%
convert/convert-jpg2gif-query-1423.smt2,14.40%
convert/convert-jpg2gif-query-1164.smt2,23.37%
convert/convert-jpg2gif-query-1145.smt2,23.92%
convert/convert-jpg2gif-query-1590.smt2,0.00%
convert/convert-jpg2gif-query-1561.smt2,0.00%
convert/convert-jpg2gif-query-1146.smt2,27.68%
convert/convert-jpg2gif-query-1365.smt2,12.16%
convert/convert-jpg2gif-query-1372.smt2,17.43%
convert/convert-jpg2gif-query-1358.smt2,22.31%
convert/convert-jpg2gif-query-1370.smt2,15.78%
convert/convert-jpg2gif-query-1140.smt2,26.12%
convert/convert-jpg2gif-query-1152.smt2,27.93%
dillig/40-4.smt2,92.38%
dillig/30-28.smt2,16.21%
dillig/35-11.smt2,22.98%
dillig/45-28.smt2,24.84%
dillig/40-35.smt2,24.90%
dillig/40-10.smt2,90.83%
dillig/15-20.smt2,85.37%
dillig/40-17.smt2,30.56%
dillig/30-23.smt2,13.96%
dillig/25-26.smt2,20.02%
dillig/25-9.smt2,91.09%
dillig/30-12.smt2,23.69%
dillig/45-26.smt2,19.29%
dillig/10-21.smt2,78.38%
dillig/40-25.smt2,39.33%
prime-cone/prime_cone_sat_3.smt2,36.06%
prime-cone/prime_cone_sat_9.smt2,47.21%
prime-cone/prime_cone_sat_19.smt2,53.75%
prime-cone/prime_cone_sat_10.smt2,48.31%
prime-cone/prime_cone_sat_14.smt2,51.84%
prime-cone/prime_cone_sat_2.smt2,33.88%
prime-cone/prime_cone_sat_8.smt2,46.15%
prime-cone/prime_cone_sat_7.smt2,44.61%
prime-cone/prime_cone_sat_13.smt2,50.79%
prime-cone/prime_cone_sat_5.smt2,41.22%
prime-cone/prime_cone_sat_17.smt2,52.80%
prime-cone/prime_cone_sat_4.smt2,38.91%
prime-cone/prime_cone_sat_20.smt2,53.99%
prime-cone/prime_cone_sat_15.smt2,52.45%
prime-cone/prime_cone_sat_6.smt2,43.05%
SMT_random_LIA/ex18000_2600_100.smt2,9.81%
SMT_random_LIA/ex21200_2600_100.smt2,10.30%
SMT_random_LIA/ex16300_2600_100.smt2,11.07%
SMT_random_LIA/ex21300_2600_100.smt2,9.68%
SMT_random_LIA/ex14600_2600_100.smt2,8.79%
SMT_random_LIA/ex18900_2600_100.smt2,10.08%
SMT_random_LIA/ex28300_2600_100.smt2,8.95%
SMT_random_LIA/ex26100_2600_100.smt2,10.45%
